airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay
ORD,2023-01-01,0,3,9,15.5,4.3,0.88,5.33
ORD,2023-01-01,1,5,0,17.71,6.37,6.0,5.1
ORD,2023-01-01,2,3,0,16.0,4.6,0.0,0.0
ORD,2023-01-01,3,0,0,20.0,8.6,0.0,0.0
ORD,2023-01-01,4,2,4,27.0,15.6,4.25,8.45
ORD,2023-01-01,5,6,14,13.8,2.24,0.0,4.4
ORD,2023-01-01,6,14,12,16.93,5.31,3.6,2.63
ORD,2023-01-01,7,30,48,17.19,5.36,3.26,4.61
ORD,2023-01-01,8,58,70,23.1,11.64,2.45,5.54
ORD,2023-01-01,9,84,42,27.33,15.87,1.43,7.53
ORD,2023-01-01,10,49,19,17.58,6.06,1.38,7.47
ORD,2023-01-01,11,22,48,17.39,6.14,1.88,4.74
ORD,2023-01-01,12,47,67,18.45,6.97,2.62,5.16
ORD,2023-01-01,13,78,52,17.51,6.08,2.49,5.4
ORD,2023-01-01,14,53,51,17.4,5.75,0.94,5.82
ORD,2023-01-01,15,33,36,15.23,3.96,2.03,6.49
ORD,2023-01-01,16,47,59,15.19,3.97,2.18,5.75
ORD,2023-01-01,17,44,57,19.72,8.28,2.02,5.46
ORD,2023-01-01,18,60,114,23.27,11.64,2.09,8.33
ORD,2023-01-01,19,93,25,19.09,7.71,0.62,10.75
ORD,2023-01-01,20,48,37,20.11,8.62,0.95,10.48
ORD,2023-01-01,21,38,15,16.76,5.21,1.06,5.19
ORD,2023-01-01,22,3,11,14.5,3.2,2.07,2.52
ORD,2023-01-01,23,1,17,16.67,5.4,0.89,3.36
ORD,2023-01-02,0,1,9,11.0,0.0,0.67,7.03
ORD,2023-01-02,1,3,0,17.0,5.7,0.0,0.0
ORD,2023-01-02,2,1,0,20.0,8.6,0.0,0.0
ORD,2023-01-02,3,1,0,0.0,0.0,0.0,0.0
ORD,2023-01-02,4,1,3,11.0,0.0,1.43,6.13
ORD,2023-01-02,5,8,14,16.13,4.47,0.08,7.86
ORD,2023-01-02,6,19,25,19.76,8.0,3.12,4.55
ORD,2023-01-02,7,63,91,20.3,8.58,2.66,8.86
ORD,2023-01-02,8,93,70,18.64,7.16,2.41,12.32
ORD,2023-01-02,9,90,44,18.98,7.47,1.35,9.07
ORD,2023-01-02,10,49,15,18.74,7.12,1.12,5.57
ORD,2023-01-02,11,24,48,16.84,5.66,1.49,6.06
ORD,2023-01-02,12,52,84,21.75,10.17,2.33,5.46
ORD,2023-01-02,13,77,53,20.41,8.95,2.09,8.07
ORD,2023-01-02,14,56,55,19.08,7.38,2.81,10.06
ORD,2023-01-02,15,36,43,17.05,5.47,1.6,8.45
ORD,2023-01-02,16,47,57,17.96,6.39,3.25,6.56
ORD,2023-01-02,17,45,57,20.49,8.95,3.63,8.88
ORD,2023-01-02,18,59,115,20.3,8.66,3.84,9.99
ORD,2023-01-02,19,93,28,22.43,10.99,1.21,11.68
ORD,2023-01-02,20,43,41,19.43,8.03,6.67,8.24
ORD,2023-01-02,21,40,13,21.3,9.61,2.65,5.69
ORD,2023-01-02,22,4,14,24.25,12.18,5.5,5.99
ORD,2023-01-02,23,2,17,15.5,4.1,1.94,6.58
ORD,2023-01-03,0,2,8,15.8,4.48,1.11,7.38
ORD,2023-01-03,1,3,1,13.5,2.3,9.5,7.8
ORD,2023-01-03,2,1,0,0.0,0.0,12.0,26.1
ORD,2023-01-03,3,2,0,11.0,0.0,0.0,0.0
ORD,2023-01-03,4,0,4,16.0,4.6,20.2,2.72
ORD,2023-01-03,5,10,12,17.11,5.52,0.38,4.72
ORD,2023-01-03,6,18,23,23.28,11.43,1.71,5.08
ORD,2023-01-03,7,61,89,22.63,10.87,4.86,10.33
ORD,2023-01-03,8,92,70,23.44,11.95,6.53,13.34
ORD,2023-01-03,9,91,42,25.79,14.27,1.74,8.64
ORD,2023-01-03,10,48,16,18.9,7.23,3.05,6.85
ORD,2023-01-03,11,23,51,19.95,8.56,2.55,6.55
ORD,2023-01-03,12,50,80,27.91,16.29,3.33,8.3
ORD,2023-01-03,13,77,54,31.04,19.55,3.17,10.3
ORD,2023-01-03,14,54,53,25.31,13.56,3.55,11.05
ORD,2023-01-03,15,33,42,19.61,8.26,4.44,9.68
ORD,2023-01-03,16,45,57,19.64,7.99,2.3,8.11
ORD,2023-01-03,17,49,56,29.56,17.96,2.96,10.23
ORD,2023-01-03,18,59,113,38.15,26.43,7.43,16.87
ORD,2023-01-03,19,90,26,35.18,23.72,3.56,15.86
ORD,2023-01-03,20,44,36,30.18,18.7,3.08,14.62
ORD,2023-01-03,21,32,13,23.51,12.03,1.46,9.45
ORD,2023-01-03,22,3,14,15.57,4.13,5.74,2.72
ORD,2023-01-03,23,3,16,15.5,4.23,1.18,8.52
ORD,2023-01-04,0,0,9,0.0,0.0,0.57,2.26
ORD,2023-01-04,1,2,0,14.33,3.07,1.67,4.1
ORD,2023-01-04,2,1,0,0.0,0.0,4.0,4.1
ORD,2023-01-04,3,3,0,17.0,5.6,0.0,2.1
ORD,2023-01-04,4,0,4,11.0,0.0,0.15,3.67
ORD,2023-01-04,5,10,9,16.92,5.34,1.33,5.7
ORD,2023-01-04,6,25,19,15.33,3.88,1.5,4.05
ORD,2023-01-04,7,54,85,17.55,5.78,2.55,6.48
ORD,2023-01-04,8,89,73,19.38,7.94,2.41,7.19
ORD,2023-01-04,9,88,42,20.14,8.63,1.64,7.7
ORD,2023-01-04,10,49,16,17.36,5.83,2.72,4.64
ORD,2023-01-04,11,26,47,17.41,6.25,1.59,4.66
ORD,2023-01-04,12,50,81,22.26,10.72,4.83,5.36
ORD,2023-01-04,13,79,58,21.85,10.4,1.79,10.14
ORD,2023-01-04,14,56,56,18.19,6.56,1.82,7.78
ORD,2023-01-04,15,36,45,24.49,13.18,3.22,5.77
ORD,2023-01-04,16,48,66,26.64,15.19,3.4,6.07
ORD,2023-01-04,17,52,54,24.62,13.06,2.68,6.31
ORD,2023-01-04,18,59,114,29.97,18.29,4.39,11.47
ORD,2023-01-04,19,88,30,27.0,15.61,2.18,9.06
ORD,2023-01-04,20,56,22,29.35,17.78,1.05,7.67
ORD,2023-01-04,21,12,16,15.14,4.02,0.94,3.63
ORD,2023-01-04,22,4,12,15.57,4.17,1.18,3.84
ORD,2023-01-04,23,2,21,15.5,4.17,2.0,3.78
ORD,2023-01-05,0,3,8,22.8,11.4,0.11,14.94
ORD,2023-01-05,1,4,0,25.0,13.6,0.5,4.6
ORD,2023-01-05,2,2,0,26.0,14.6,0.0,0.0
ORD,2023-01-05,3,3,1,29.0,17.6,0.0,3.1
ORD,2023-01-05,4,0,3,26.0,14.6,0.0,3.4
ORD,2023-01-05,5,9,9,25.42,13.8,1.11,1.29
ORD,2023-01-05,6,25,21,28.93,17.24,2.14,3.94
ORD,2023-01-05,7,56,84,31.15,19.41,2.93,9.87
ORD,2023-01-05,8,88,79,38.35,26.87,2.42,9.48
ORD,2023-01-05,9,93,42,33.8,22.32,1.39,8.1
ORD,2023-01-05,10,49,14,28.6,16.83,1.29,4.91
ORD,2023-01-05,11,24,50,24.52,13.11,1.69,4.87
ORD,2023-01-05,12,50,79,31.04,19.47,2.72,5.34
ORD,2023-01-05,13,73,62,32.74,21.29,3.22,7.17
ORD,2023-01-05,14,55,55,28.78,16.95,14.24,7.73
ORD,2023-01-05,15,32,43,32.0,20.53,1.98,7.81
ORD,2023-01-05,16,54,68,33.56,22.07,2.33,6.06
ORD,2023-01-05,17,67,51,35.68,24.17,2.91,7.92
ORD,2023-01-05,18,62,82,33.84,22.23,2.27,14.13
ORD,2023-01-05,19,47,22,24.43,12.84,1.38,9.55
ORD,2023-01-05,20,49,21,24.61,13.0,1.17,6.84
ORD,2023-01-05,21,9,17,23.25,11.31,1.68,4.17
ORD,2023-01-05,22,5,10,18.5,7.21,1.5,2.74
ORD,2023-01-05,23,2,19,19.57,8.17,1.0,2.93
ORD,2023-01-06,0,1,7,22.0,10.6,1.5,2.56
ORD,2023-01-06,1,3,0,20.0,8.6,2.0,3.1
ORD,2023-01-06,2,1,0,21.0,9.6,0.0,5.1
ORD,2023-01-06,3,1,1,18.5,7.3,0.0,3.1
ORD,2023-01-06,4,0,3,0.0,0.0,0.0,2.11
ORD,2023-01-06,5,9,8,17.9,6.37,0.6,3.83
ORD,2023-01-06,6,25,21,16.0,4.46,0.8,3.63
ORD,2023-01-06,7,55,86,20.32,8.65,2.0,7.9
ORD,2023-01-06,8,90,78,28.9,17.47,2.89,16.23
ORD,2023-01-06,9,92,44,27.3,15.89,1.13,8.48
ORD,2023-01-06,10,49,15,17.51,6.18,1.31,2.81
ORD,2023-01-06,11,26,50,19.39,7.99,1.3,4.15
ORD,2023-01-06,12,53,77,28.45,16.96,3.06,6.4
ORD,2023-01-06,13,72,64,33.46,22.09,1.72,7.58
ORD,2023-01-06,14,57,56,25.17,13.49,2.02,6.64
ORD,2023-01-06,15,29,46,19.97,8.53,2.94,7.27
ORD,2023-01-06,16,61,68,21.85,10.54,2.56,6.29
ORD,2023-01-06,17,65,49,25.06,13.58,1.94,4.86
ORD,2023-01-06,18,60,85,27.87,16.26,1.89,9.85
ORD,2023-01-06,19,50,25,21.55,10.1,1.23,8.56
