airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay,DATE
ATL,2023-01-01,0,1,7,15.0,2.9,2.6,8.96,2023-01-01 00:00:00
ATL,2023-01-01,1,0,2,14.0,1.93,1.5,2.03,2023-01-01 01:00:00
ATL,2023-01-01,2,0,0,12.0,0.0,0.0,0.0,2023-01-01 02:00:00
ATL,2023-01-01,3,1,0,0.0,0.0,0.0,0.0,2023-01-01 03:00:00
ATL,2023-01-01,5,4,7,16.75,4.3,2.44,2.86,2023-01-01 05:00:00
ATL,2023-01-01,6,18,10,15.24,4.45,1.3,3.34,2023-01-01 06:00:00
ATL,2023-01-01,7,17,59,21.13,8.84,2.14,2.78,2023-01-01 07:00:00
ATL,2023-01-01,8,64,66,15.17,3.28,1.97,5.74,2023-01-01 08:00:00
ATL,2023-01-01,9,71,60,19.79,6.99,1.7,10.09,2023-01-01 09:00:00
ATL,2023-01-01,10,66,30,23.21,10.54,3.52,7.45,2023-01-01 10:00:00
ATL,2023-01-01,11,65,25,16.4,3.67,0.9,2.77,2023-01-01 11:00:00
ATL,2023-01-01,12,36,36,14.1,1.83,0.62,1.29,2023-01-01 12:00:00
ATL,2023-01-01,13,38,55,14.67,2.45,0.72,2.09,2023-01-01 13:00:00
ATL,2023-01-01,14,35,49,14.11,2.11,0.88,1.46,2023-01-01 14:00:00
ATL,2023-01-01,15,59,37,14.56,2.17,0.42,1.56,2023-01-01 15:00:00
ATL,2023-01-01,16,22,60,13.96,2.16,0.39,1.6,2023-01-01 16:00:00
ATL,2023-01-01,17,48,55,14.51,2.09,0.81,2.04,2023-01-01 17:00:00
ATL,2023-01-01,18,52,60,15.64,2.7,0.59,4.6,2023-01-01 18:00:00
ATL,2023-01-01,19,37,59,14.19,2.44,0.93,9.15,2023-01-01 19:00:00
ATL,2023-01-01,20,42,54,15.23,2.5,2.51,7.12,2023-01-01 20:00:00
ATL,2023-01-01,21,61,35,14.55,2.59,1.54,7.23,2023-01-01 21:00:00
ATL,2023-01-01,22,61,14,15.3,2.37,5.5,10.09,2023-01-01 22:00:00
ATL,2023-01-01,23,2,15,22.5,8.7,0.81,4.46,2023-01-01 23:00:00
