DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
2019-01-01T00:18:00,50,50.0,0.03,RA:02 BR:1 |s RA s |RA s,100.0,0.25,170,13.0
2019-01-01T00:51:00,49,49.0,0.07,-RA:02 BR:1 |s RA s |RA s,100.0,0.25,180,11.0
2019-01-01T01:00:00,49,49.0,,||RA,100.0,0.25,180,11.0
2019-01-01T01:51:00,48,48.0,0.04,FG:2 |FG |,100.0,0.25,180,6.0
2019-01-01T02:51:00,48,48.0,T,FG:2 |FG |,100.0,0.25,180,11.0
2019-01-01T03:49:00,48,48.0,,BR:1 ||,100.0,1.50,280,5.0
2019-01-01T03:51:00,49,49.0,0.00,BR:1 ||,100.0,1.50,280,3.0
2019-01-01T04:00:00,49,49.0,,,100.0,1.49,280,3.0
2019-01-01T04:51:00,55,55.0,0.00,BR:1 ||,100.0,6.00,250,22.0
2019-01-01T05:49:00,54,54.0,,,100.0,10.00,250,14.0
2019-01-01T05:51:00,54,54.0,0.00,,100.0,10.00,250,14.0
2019-01-01T06:31:00,54,54.0,,,100.0,10.00,240,11.0
2019-01-01T06:51:00,55,56.0,0.00,,97.0,10.00,250,16.0
2019-01-01T07:00:00,55,56.0,,,97.0,9.94,250,16.0
2019-01-01T07:51:00,54,56.0,0.00,,93.0,10.00,250,16.0
2019-01-01T08:51:00,52,58.0,0.00,,81.0,10.00,250,18.0
2019-01-01T09:51:00,51,59.0,0.00,,75.0,10.00,270,23.0
2019-01-01T10:00:00,51,59.0,,,75.0,9.94,270,23.0
2019-01-01T10:51:00,48,58.0,0.00,,70.0,10.00,280,15.0
2019-01-01T11:51:00,42,58.0,0.00,,56.0,10.00,310,32.0
2019-01-01T12:51:00,39,57.0,0.00,,51.0,10.00,300,25.0
2019-01-01T13:00:00,39,57.0,,,51.0,9.94,300,25.0
2019-01-01T13:51:00,37,54.0,0.00,,53.0,10.00,320,22.0
2019-01-01T14:51:00,36,50.0,0.00,,59.0,10.00,310,29.0
2019-01-01T15:51:00,33,48.0,0.00,,56.0,10.00,320,28.0
2019-01-01T16:00:00,33,48.0,,,56.0,9.94,320,28.0
