DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
2023-01-01T00:08:00,55.0,56.0,,FG:2 |FG s |,97.0,0.00,240,8.0
2023-01-01T00:20:00,55.0,56.0,,FG:2 |FG s |,97.0,0.00,260,6.0
2023-01-01T00:50:00,55.0,55.0,,BR:1 ||,100.0,0.00,270,3.0
2023-01-01T00:52:00,55.0,56.0,0.00,BR:1 ||,97.0,0.00,280,3.0
2023-01-01T01:00:00,55.0,56.0,,,97.0,0.00,280,3.0
2023-01-01T01:52:00,56.0,57.0,0.00,FG:2 |FG s |,96.0,0.00,280,6.0
2023-01-01T02:52:00,54.0,55.0,0.00,FG:2 |FG s |,96.0,0.00,000,0.0
2023-01-01T03:17:00,54.0,55.0,,FG:2 |FG s |,96.0,0.00,000,0.0
2023-01-01T03:52:00,53.0,55.0,0.00,FG:2 |FG s |,93.0,0.00,000,0.0
2023-01-01T04:52:00,53.0,54.0,0.00,FG:2 |FG s |,97.0,0.00,000,0.0
2023-01-01T05:12:00,53.0,54.0,,FG:2 |FG s |,97.0,0.00,000,0.0
2023-01-01T05:15:00,53.0,54.0,,FG:2 |FG |,97.0,0.25,000,0.0
2023-01-01T05:52:00,53.0,54.0,0.00,FG:2 |FG |,97.0,0.25,000,0.0
2023-01-01T06:07:00,54.0,55.0,,FG:2 |FG |,96.0,0.25,000,0.0
2023-01-01T06:17:00,54.0,54.0,,FG:2 |FG |,100.0,0.25,000,0.0
2023-01-01T06:43:00,54.0,54.0,,FG:2 |FG |,100.0,0.25,000,0.0
2023-01-01T06:52:00,54.0,54.0,0.00,FG:2 |FG |,100.0,0.25,000,0.0
2023-01-01T07:00:00,54.0,54.0,,||FG,100.0,0.25,000,0.0
2023-01-01T07:52:00,54.0,54.0,0.00,BR:1 |s |,100.0,0.25,000,0.0
2023-01-01T08:49:00,54.0,55.0,,FG:2 |FG |,94.0,0.25,200,3.0
2023-01-01T08:52:00,54.0,55.0,0.00,FG:2 |FG |,96.0,0.25,210,3.0
2023-01-01T08:59:00,54.0,55.0,,FG:2 |FG |,96.0,0.25,210,5.0
2023-01-01T09:37:00,55.0,56.0,,FG:2 |FG |,97.0,0.25,260,7.0
2023-01-01T09:50:00,55.0,55.0,,BR:1 ||,100.0,1.00,260,6.0
2023-01-01T09:52:00,55.0,56.0,0.00,BR:1 ||,97.0,1.00,270,7.0
2023-01-01T10:36:00,56.0,57.0,,BR:1 ||,96.0,1.50,260,5.0
2023-01-01T10:52:00,56.0,57.0,0.00,BR:1 ||,96.0,1.50,260,7.0
2023-01-01T11:52:00,57.0,60.0,0.00,,90.0,9.00,260,6.0
2023-01-01T12:02:00,57.0,61.0,,,87.0,10.00,240,7.0
2023-01-01T12:21:00,56.0,63.0,,,78.0,10.00,250,8.0
2023-01-01T12:37:00,56.0,63.0,,,78.0,10.00,250,8.0
2023-01-01T12:52:00,56.0,65.0,0.00,,73.0,10.00,VRB,5.0
2023-01-01T13:00:00,56.0,65.0,,,73.0,9.94,,5.0
2023-01-01T13:10:00,54.0,66.0,,,65.0,10.00,280,8.0
2023-01-01T13:52:00,54.0,67.0,0.00,,63.0,10.00,310,6.0
2023-01-01T14:52:00,52.0,69.0,0.00,,55.0,10.00,290,7.0
2023-01-01T15:52:00,53.0,70.0,0.00,,55.0,10.00,VRB,6.0
2023-01-01T16:52:00,50.0,69.0,0.00,,51.0,10.00,280,5.0
2023-01-01T17:52:00,52.0,64.0,0.00,,65.0,10.00,180,3.0
2023-01-01T18:52:00,52.0,62.0,0.00,,70.0,10.00,180,5.0
2023-01-01T19:00:00,52.0,62.0,,,70.0,9.94,180,5.0
2023-01-01T19:52:00,51.0,60.0,0.00,,72.0,10.00,170,3.0
2023-01-01T20:52:00,52.0,59.0,0.00,,78.0,10.00,190,3.0
2023-01-01T21:52:00,52.0,58.0,0.00,,81.0,10.00,200,3.0
2023-01-01T22:52:00,52.0,57.0,0.00,,83.0,10.00,000,0.0
2023-01-01T23:52:00,51.0,54.0,0.00,,90.0,10.00,120,3.0
2023-01-02T00:52:00,51.0,53.0,0.00,,93.0,10.00,000,0.0
2023-01-02T01:00:00,51.0,53.0,,,93.0,9.94,000,0.0
2023-01-02T01:52:00,50.0,52.0,0.00,,93.0,10.00,000,0.0
2023-01-02T02:52:00,50.0,52.0,0.00,,93.0,10.00,000,0.0
2023-01-02T03:20:00,49.0,51.0,,,92.0,8.00,000,0.0
2023-01-02T03:50:00,48.0,52.0,,BR:1 ||,88.0,6.00,000,0.0
2023-01-02T03:52:00,49.0,51.0,0.00,BR:1 ||,92.0,6.00,000,0.0
2023-01-02T04:52:00,50.0,51.0,0.00,,96.0,9.00,000,0.0
2023-01-02T05:52:00,52.0,55.0,0.00,,90.0,10.00,000,0.0
2023-01-02T06:52:00,52.0,55.0,0.00,,90.0,10.00,000,0.0
2023-01-02T07:00:00,52.0,55.0,,,90.0,9.94,000,0.0
2023-01-02T07:52:00,52.0,56.0,0.00,,87.0,10.00,150,3.0
